relevance,query,title,highlight,url,author,section,score,rank_position,relevance_probability
1,новый VR шлем Valve,Что не так с новым шлемом от Valve Steam Frame,Что не так с <mark>новым</mark> <mark>шлемом</mark> от <mark>Valve</mark> Steam Frame | <mark>Valve</mark> представила свой <mark>новый</mark> <mark>VR</mark>-<mark>шлем</mark> Steam Frame (ранее проект Deckard) — автономное устройство на платформе SteamOS с возможностью потоковой игры с ПК | Это один из самых лёгких <mark>VR</mark>-<mark>шлемов</mark> в своём классе.,https://vc.ru/tech/2336285-obzor-shlema-valve-steam-frame,Henry Developer,tech,332.58252,1,0.5153907912931086
1,новый VR шлем Valve,Patchwork: интерактивный холст от Midjourney для проработки виртуальных миров,"Patchwork: интерактивный холст от Midjourney для проработки <mark>виртуальных</mark> миров | #новости #midjourney Интерфейс Patchwork выглядит, как холст с «песочницами» для создания <mark>виртуальных</mark> миров.",https://vc.ru/midjourney/1705633-midjourney-patchwork,Ася Карпова,midjourney,9.723031,2,0.506151731819919
1,новый VR шлем Valve,"Vivo представила шлем смешанной реальности Vivo Vision — похожий на Apple Vision Pro, но «более компактный»","Vivo представила <mark>шлем</mark> смешанной <mark>реальности</mark> Vivo Vision — похожий на Apple Vision Pro, но «более компактный» | Впервые компания анонсировала выпуск своего первого <mark>шлема</mark> смешанной <mark>реальности</mark> в марте 2025 года, а 22 августа 2025 года выставила демонстрационные образцы | <mark>Шлем</mark> оснащён двумя микро-OLED-экранами с разрешением 3840×3552 и охватом 94% цветового пространства DCI-P3 .",https://vc.ru/tech/2174499-vivo-vision-shlem-smeshannoy-realnosti,Виктория Ли,tech,9.612091,3,0.5043478422971371
0,новый VR шлем Valve,"Главное за неделю: OpenAI Codex, Galaxy S25 Edge, отечественные авто в такси, ИИ в детских часах и взлом Steam (это не точно)","Слушайте <mark>новый</mark> выпуск, читайте и подписывайтесь на ForGeeks в Telegram. | Kandinsky 3D подойдёт дизайнерам, архитекторам, разработчикам игр, AR и <mark>VR</mark> — <mark>модели</mark> можно экспортировать в 3D-редакторы, визуализировать или подготовить | <mark>Новый</mark> стиль ближе к визуальной айдентике Google Gemini — ИИ-помощника компании.",https://vc.ru/tech/1991178-itogi-nedeli-openai-codex-galaxy-s25-edge,Сергей Кузнецов,tech,32.1484,4,0.4988641649807388
0,новый VR шлем Valve,Samsung бросает вызов Apple Vision Pro с новым шлемом Galaxy XR,"Samsung бросает вызов Apple Vision Pro с <mark>новым</mark> <mark>шлемом</mark> Galaxy XR | После месяцев слухов Samsung представила <mark>гарнитуру</mark> Galaxy XR, созданную в сотрудничестве с Google и Qualcomm. | эргономику: давление распределяется по лбу и затылку, снижая нагрузку на лицо. 🧭 Возможности: Выход Galaxy XR стал ответом на обновлённый Apple Vision Pro с <mark>новым</mark>",https://vc.ru/tech/2293218-samsung-galaxy-xr-protiv-apple-vision-pro,Максим Корнилов,tech,11.457366,5,0.49721791878989796
0,новый VR шлем Valve,Как создать виртуальный мир в Patchwork Midjourney,Как создать <mark>виртуальный</mark> мир в Patchwork Midjourney | Инструкция к <mark>новому</mark> инструменту для генерации персонажей и сценариев на бесконечном холсте. | А что вы думаете о Patchwork — есть ли в сервисе что-то действительно <mark>новое</mark>? Какой мир вы бы в нём создали?,https://vc.ru/midjourney/1735536-kak-sozdat-virtualnyi-mir-v-patchwork-midjourney,Валерия Ильина,midjourney,10.753972,6,0.497172829358861
0,новый VR шлем Valve,🤖 Higgsfield — запредельная реальность и детализация,"🤖 Higgsfield — запредельная <mark>реальность</mark> и детализация | 26 июня 2025 года появились <mark>новые</mark> возможности: Higgsfield Soul — супер-реалистичные фото, крутые анимации и переходы для видео 📸 Эффект для фото Realistic",https://vc.ru/ai/2337002-higgsfield-soul-novye-vozmozhnosti,Вездесущий ИИ,ai,9.306587,7,0.49283106516733793
0,новый VR шлем Valve,Массовые увольнения - наша новая реальность.,Массовые увольнения - наша <mark>новая</mark> <mark>реальность</mark>.,https://vc.ru/dev/2177457-massovye-uvolneniya-iz-za-ii-prognozy-i-posledstviya,Мобильный трудоголик,dev,14.494454,8,0.48552722756088357
0,новый VR шлем Valve,💥 Метавселенные 2025: Как виртуальные миры станут новым интернетом,💥 Метавселенные 2025: Как <mark>виртуальные</mark> миры станут <mark>новым</mark> интернетом | Somnium Space · Уникальность: <mark>VR</mark>-<mark>первый</mark> подход · Технология: Полное погружение через <mark>VR</mark> · <mark>Экономика</mark>: Продажа аватаров и предметов · Перспектива: Клон Metaverse | /<mark>AR</mark> <mark>гарнитуры</mark> <mark>нового</mark> поколения · Нейроинтерфейсы (тестирование) · Голосовое управление Инфраструктура: · 6G сети (2027+) · Квантовые вычисления для симуляции,https://vc.ru/crypto/2291954-metavselennye-2025-investitsii-v-virtualnye-miry,Игорь Павленко,crypto,13.7542715,9,0.4852947190853157
0,новый VR шлем Valve,eSIM - современная технология виртуальной сим-карты для новых гаджетов,eSIM - современная технология <mark>виртуальной</mark> сим-карты для <mark>новых</mark> гаджетов,https://vc.ru/links/325084-esim-sovremennaya-tehnologiya-virtualnoi-sim-karty-dlya-novyh-gadzhetov,Сергей Иванов,links,13.7542715,10,0.484459773824954
1,Telegram обновил дизайн iOS,"В Telegram Wallet добавили поддержку Ethereum, Solana, Dogecoin и других криптовалют","#новости #<mark>telegram</mark> Об обновлении рассказала команда <mark>Telegram</mark> Wallet. | В марте 2025 года <mark>Telegram</mark> Wallet <mark>обновил</mark> <mark>дизайн</mark>, добавил отдельный раздел раздел для торговли криптовалютами и ввёл бонусы за хранение активов. | В августе <mark>Telegram</mark> интегрировал кошелёк в <mark>интерфейс</mark> приложения и представил бета-версию некастодиального кошелька TON Spaces.",https://vc.ru/telegram/1884398-v-telegram-wallet-dobavili-podderzhku-ethereum-solana-dogecoin-i-drugih-kriptovalyut,Артур Томилко,telegram,18.794538,1,0.5444732516933064
1,Telegram обновил дизайн iOS,"Главное за неделю: самое интересное с MWC 2025, Apple выпустила новые Mac Studio и MacBook Air, OpenAI сделала ChatGPT 4.5, вышла игра Split Fiction","Подводим итоги недели в подкасте <mark>Telegram</mark>-канала ForGeeks. | Слушайте новый выпуск, читайте и подписывайтесь на ForGeeks в <mark>Telegram</mark>. | Внешний <mark>дизайн</mark> не изменился, но добавлена поддержка Thunderbolt 5 и улучшенные технологии трассировки лучей.",https://vc.ru/tech/1852283-glavnoe-za-nedelyu-samoe-interesnoe-s-mwc-2025-apple-vypustila-novye-mac-studio-i-macbook-air-openai-sdelala-chatgpt-45-vyshla-igra-split-fiction,Сергей Кузнецов,tech,16.679531,2,0.5266298733296276
1,Telegram обновил дизайн iOS,"Главное за неделю: BYD переизобрели зарядку , ChatGPT теперь помнит вообще всё, большое обновление WhatsApp и облачный гейминг Razer","Подводим итоги недели в подкасте <mark>Telegram</mark>-канала ForGeeks. | Слушайте новый выпуск, читайте и подписывайтесь на ForGeeks в <mark>Telegram</mark>. | ИИ сам строит архитектуру, генерирует <mark>интерфейс</mark> и подключает функциональность.",https://vc.ru/tech/1921117-glavnye-tehnologii-nedeli-byd-chatgpt-whatsapp-i-oblachnyj-gejming,Сергей Кузнецов,tech,16.14865,3,0.5147306080984086
1,Telegram обновил дизайн iOS,"Telegram добавил дизайн с эффектом «жидкого стекла» в приложении для iOS, комментарии в групповых звонках и заметки к контактам","<mark>Telegram</mark> добавил <mark>дизайн</mark> с эффектом «жидкого стекла» в приложении для iOS, комментарии в групповых звонках и заметки к контактам | #новости #<mark>telegram</mark> <mark>Telegram обновил дизайн iOS</mark>-приложения — в стиле версии <mark>iOS</mark> 26 с эффектом «жидкого стекла». | Мессенджер <mark>обновил</mark> <mark>интерфейс</mark> отправки подарков: все доступные теперь отображаются в одном списке.",https://vc.ru/telegram/2267387-telegram-obnovil-dizajn-ios-26-zametki-i-kommentarii,Таня Боброва,telegram,189.25415,4,0.5084416090089319
0,Telegram обновил дизайн iOS,"Разработка мобильного приложения для чтения и прослушивания книг на казахском языке ""Тында""/""Тенда""","Перед нами стояла задача переработать UX и визуальную логику приложения, сделать <mark>дизайн</mark> адаптивным, оптимизировать архитектуру и <mark>обновить</mark> фреймворк до | <mark>Дизайн</mark> адаптировали под все типы экранов — от компактных смартфонов до планшетов. | После внедрения обновлённого <mark>интерфейса</mark> и технической оптимизации показатели приложения заметно выросли.",https://vc.ru/services/2295179-mobilnoe-prilozhenie-dlya-chteniya-knig-na-kazahskom-yazyke-tinda,Softorium,services,17.185368,5,0.4984951332870169
0,Telegram обновил дизайн iOS,Вышло обновление Telegram с музыкой и новым дизайном на Android,"Вышло обновление <mark>Telegram</mark> с музыкой и новым <mark>дизайном</mark> на Android | Только что вышла версия <mark>Telegram</mark> 12.0.0 в которой появилась возможность добавить музыку в профиль, новые темы для чатов на основе подарков, новый <mark>дизайн</mark> | Об остальных нововведениях читайте в официальном блоге <mark>Telegram</mark> Ладно. Про музыку тоже расскажу.",https://vc.ru/telegram/2189480-obnovlenie-telegram-12-0-0-muzyka-dizayn-temy-android,Ilya L,telegram,47.04114,6,0.495245243021079
0,Telegram обновил дизайн iOS,"Главное за неделю: OpenAI Codex, Galaxy S25 Edge, отечественные авто в такси, ИИ в детских часах и взлом Steam (это не точно)","Подводим итоги недели в подкасте <mark>Telegram</mark>-канала ForGeeks. | Слушайте новый выпуск, читайте и подписывайтесь на ForGeeks в <mark>Telegram</mark>. | Аккумулятор на 3900 мА·ч — компромисс ради <mark>дизайна</mark>, но энергоэффективность компенсирует объём. Старт продаж — 30 мая.",https://vc.ru/tech/1991178-itogi-nedeli-openai-codex-galaxy-s25-edge,Сергей Кузнецов,tech,17.2002,7,0.4939955210160855
0,Telegram обновил дизайн iOS,Вышел Android с новым дизайном,"Google представила масштабное обновление Android 16 QPR1, которое привносит изменения в <mark>дизайн</mark> на базе инновационной концепции Material 3 Expressive. | Панель поиска получила современный <mark>дизайн</mark> с градиентным логотипом «G». | Больше новостей в нашем <mark>Telegram</mark> канале.",https://vc.ru/tech/2196536-obnovlenie-android-16-qpr1-s-novym-dizainom-material-3,Технограм,tech,17.057377,8,0.4871355815721135
0,Telegram обновил дизайн iOS,Подборка полезных решений и материалов,"ИИ-агент смотрит <mark>дизайн</mark> и код на сайте, а после выдаёт результат по запросу. | Также <mark>обновили</mark> бесплатный видеоредактор Canva Video 2.0 (подглядел у @tips_ai) — Скачать бесплатно (vpn) ✦ Hugging Face: бесплатная книга по созданию моделей | качество оценил Gemini-2.5-Pro — Забираем Забирайте в избранное и делитесь с коллегами по цеху 🙏🏼 Все подборки тут: #полезное@EF9MERA Подписывайтесь на <mark>Telegram</mark>",https://vc.ru/ai/2311363-poleznye-resheniya-i-materialy-po-ii,EFEMERA (Вова Казаков),ai,16.634748,9,0.4824746007329995
0,Telegram обновил дизайн iOS,Яндекс представил новые ТВ Станции,"Заявлена поддержка Dolby Vision, MEMC и HDR10, насыщенность цветов оптимизирует искусственный интеллект, а элементы <mark>интерфейса</mark> отображаются в 4K. | Яндекс <mark>обновил</mark> операционную систему, обновление появится и на других телевизорах. | Больше новостей в нашем <mark>Telegram</mark> канале, подписывайся! ТВ Станция Про miniLED ТВ Станция Бейсик QLED Обновление YaOS X",https://vc.ru/tech/2167590-yandeks-predstavil-novye-tv-stantsii,Технограм,tech,16.634748,10,0.48024473264062384
1,крипторынок восстановление 2025,"Крипторынок под давлением: биткоин теряет уровень $100 000, но аналитики видят признаки восстановления","<mark>Крипторынок</mark> под давлением: биткоин теряет уровень $100 000, но аналитики видят признаки <mark>восстановления</mark>",https://vc.ru/crypto/2325517-kriptorynok-bitkoin-nizhe-100000,Blog X,crypto,47.95848,1,0.5120525101034871
1,крипторынок восстановление 2025,"Обзор динамики биткойна, эфира и стейблкоинов в условиях глобальной неопределённости","Биткойн пережил бурную неделю: <mark>крипторынок</mark> продолжает усваивать последствия краха на 20 миллиардов долларов за выходные. | В дополнение, альткоины демонстрируют признаки осторожного <mark>восстановления</mark> после сильных падений.",https://vc.ru/crypto/2281506-dinamika-bitkoina-efira-i-stejblkoinov,Blog X,crypto,18.48399,2,0.5015501346278086
0,крипторынок восстановление 2025,«Крупные держатели сбрасывают биткоин: что стоит за распродажами на $45 млрд?»,В октябре 2025 года <mark>крипторынок</mark> столкнулся с масштабными распродажами биткоина. | Готовьтесь к долгому боковику — <mark>восстановление</mark> может занять месяцы. Используйте аналитику вместо слухов.,https://vc.ru/crypto/2320573-prichiny-rasprodazh-bitkoina,Игорь Павленко,crypto,15.33994,3,0.48301406559135013
0,крипторынок восстановление 2025,«Чего не хватает биткоину для роста? Разбор от маркетмейкера Wintermute»,Что делать прямо сейчас: Главное: <mark>Крипторынок</mark> не умер — он перешёл в фазу зрелости. | Почему <mark>крипторынок</mark> теряет ликвидность? 3 главных причины Что поддерживает <mark>крипторынок</mark>? Когда ждать <mark>восстановления</mark>? Что говорят эксперты?,https://vc.ru/crypto/2328208-pochemu-bitkoin-ne-rastet-analiz-ot-wintermute,Игорь Павленко,crypto,21.303352,4,0.4805639893752318
0,крипторынок восстановление 2025,Крипторынок набрал $170 млрд за неделю: постепенное восстановление после обвала,"<mark>Крипторынок</mark> набрал $170 млрд за неделю: постепенное <mark>восстановление</mark> после обвала | Рост на $170 млрд за неделю показывает, что <mark>крипторынок</mark> готов к новому этапу активности. | Важно понимать, что <mark>восстановление</mark> идёт постепенно, и резких скачков ожидать пока не стоит.",https://vc.ru/crypto/2299194-kriptorynok-vosstanovilsya-na-170-mlrd,Александр Белов,crypto,54.53942,5,0.46913879542106207
0,крипторынок восстановление 2025,Toncoin теряет позиции: причины падения и шансы на возвращение в топ,"В ночь с 10 на 11 октября 2025 года <mark>крипторынок</mark> пережил одно из крупнейших падений за последние 12 месяцев: за несколько часов ликвидации достигли рекордных | Если стратегия TON по наращиванию резервов будет продолжена, у Toncoin сохраняются долгосрочные шансы на <mark>восстановление</mark> и рост.",https://vc.ru/crypto/2336764-toncoin-teryaet-pozitsii-na-kriptorynke,BestChange.ru,crypto,19.722467,6,0.467647920374681
0,крипторынок восстановление 2025,Осень 2025: анализ крупнейшего падения за последние годы,"В ночь на 11 октября 2025 года <mark>крипторынок</mark> столкнулся с крупнейшим за всю историю падением. | Эксперты отмечают, что текущее <mark>восстановление</mark> может свидетельствовать о возвращении осторожного оптимизма среди инвесторов.",https://vc.ru/crypto/2291412-kriptorynok-osen-2025-krupneyshee-padenie,BestChange.ru,crypto,18.368982,7,0.46133875244322525
0,крипторынок восстановление 2025,Coinbase о рекордных ликвидациях: перезагрузка крипторынка и прогнозы на будущее,"пролог к средне- и долгосрочному подъему, чем сигнал к ослаблению», Они ожидают, что полная стабилизация рынка займет два-три месяца, а постепенное <mark>восстановление</mark> | Вилли Ву, отметил, что в течение ближайших двух недель может наблюдаться рост курса биткоина, чему способствует увеличенный приток ликвидности в <mark>крипторынок</mark>",https://vc.ru/crypto/2329956-coinbase-o-likvidatsiyakh-na-kriptoryinke,Криптариум,crypto,19.48225,8,0.4543423496877573
1,создание длинных видео Sora,Китайская MiniMax выпустила ИИ-модель для генерации музыки Music 2.0 с поддержкой русского языка,"Тест vc.ru Компания заявляет, что MiniMax Music 2.0 создаёт аудио <mark>длиной</mark> до пяти минут с «реалистичным» и «эмоциональным» вокалом. | На <mark>создание</mark> одной песни уйдёт 300 кредитов вне зависимости от <mark>длины</mark> трека. Бесплатно дают 10 тысяч кредитов в месяц. | MiniMax — китайский разработчик ИИ-сервисов для генерации <mark>видео</mark> и изображений.",https://vc.ru/ai/2311494-minimax-vypustila-ii-model-music-2-0,Ася Карпова,ai,18.975233,1,0.5201154897317783
1,создание длинных видео Sora,OpenAI выпустил гайд по Sora 2,"<mark>видео</mark>. | Prompting Guide объясняет, как составлять эффективные текстовые запросы для генерации <mark>видео</mark> на <mark>Sora</mark>—балансируя детализацию, стиль и контроль творческих | Описывайте реплики отдельно, коротко — <mark>длинные</mark> монологи не поместятся в короткое <mark>видео</mark>.",https://vc.ru/services/2263551-gaid-po-sora-2-ot-openai,Наташа Хазеева,services,16.591919,2,0.5035931771095129
0,создание длинных видео Sora,Как создавать многосюжетные видео с помощью Veo 3.1,"Подробное руководство по <mark>созданию</mark> ИИ-<mark>видео</mark>, которые станут вирусными. | Помимо несоответствия качества, <mark>создание</mark> ИИ-<mark>видео</mark> - удовольствие не из дешевых. | <mark>Создание</mark> изображений и <mark>видео</mark> доступно на платформе invideo. Вам не обязательно использовать для этого отдельные инструменты.",https://vc.ru/ai/2317709-sozdanie-mnogosyuzhetnykh-video-s-veo-3-1,NeuroЭнтузиаст,ai,19.410837,3,0.490354743708416
0,создание длинных видео Sora,Почему нам всё труднее читать книги и смотреть длинные видео?,"Почему нам всё труднее читать книги и смотреть <mark>длинные</mark> <mark>видео</mark>? | Короткие <mark>видео</mark> по 15 секунд постепенно «поедают» наше время и наш мозг. | Вы замечаете, что <mark>длинные</mark> <mark>видео</mark> или книги уже не вызывают интереса — мозгу гораздо приятнее мгновенные стимулы.",https://vc.ru/future/2183172-kak-klipovoe-myshlenie-menyaet-zhizn-cheloveka,Мирельская,future,45.996323,4,0.48689019523800825
0,создание длинных видео Sora,"ChatGPT стал полноценной платформой. OpenAI DevDay 2025. Приложения в ChatGPT, AgentKit, Codex GA и обновления моделей","AgentKit - визуальный конструктор для <mark>создания</mark> цепочек диалогов, управления приватностью, обработки данных и интеграции сторонних сервисов. | <mark>Sora</mark> 2 - новая версия генератора <mark>видео</mark> с прозрачным ценообразованием и возможностями синхронизации звука, управления <mark>длинной</mark> и разрешением. | <mark>Sora</mark> 2 Pro - для топ-клиентов в пилоте (от $0,10 до $0,50 за секунду <mark>видео</mark>).",https://vc.ru/chatgpt/2259520-openai-devday-2025-novye-prilozheniya-chatgpt-agentkit-i-codex,Павликов про Айти,chatgpt,19.264074,5,0.4854042245606658
0,создание длинных видео Sora,Оживить фото с помощью нейросети: семь сервисов с бесплатными опциями,"Цена: сгенерировать бесплатно можно до 15 <mark>видео</mark> в день <mark>длиной</mark> до десяти секунд. | <mark>Sora</mark> — модель от OpenAI для генерации <mark>видео</mark>. На октябрь 2025 года доступна пользователям с IP-адресами США, Канады, Японии и Южной Кореи. | Runway AI предлагает 19 инструментов для работы с фото и <mark>видео</mark>. Например, можно убрать лишний объект на <mark>видео</mark>, сгенерировать анимацию или мокап.",https://vc.ru/ai/2311063-servisy-dlya-ozhivleniya-foto-s-pomoschyu-neyrosetey,Валерия Ильина,ai,17.644382,6,0.48469860988613467
0,создание длинных видео Sora,Hailuo AI Minimax: Руководство по созданию видео с помощью ИИ,"Hailuo AI Minimax: Руководство по <mark>созданию</mark> <mark>видео</mark> с помощью ИИ | Узнайте, как Hailuo AI Minimax революционизирует <mark>создание</mark> <mark>видео</mark> с помощью ИИ. | Запущенный в сентябре 2024 года, этот инструмент для <mark>создания</mark> <mark>видео</mark> из текста позволяет пользователям создавать динамичные шестисекундные видеоролики из",https://vc.ru/midjourney/1596710-hailuo-ai-minimax-rukovodstvo-po-sozdaniyu-video-s-pomoshyu-ii,Роман Шарафутдинов,midjourney,34.820877,7,0.48044331617150243
0,создание длинных видео Sora,Как оформить статью в Телеграфе: пошаговое руководство для авторов,"Максимальная <mark>длина</mark> текста в посте с картинкой — 1024 символа в бесплатном аккаунте. | Используйте короткие предложения, разбивайте <mark>длинные</mark> абзацы, избегайте нагромождения деталей. | Телеграф — лёгкий в использовании и интуитивно понятный инструмент для быстрого <mark>создания</mark> <mark>длинных</mark> текстов в Телеграме.",https://vc.ru/telegram/1878270-kak-oformit-statyu-v-telegrafe-poshagovoe-rukovodstvo-dlya-avtorov,Страница Кати Кожаевой,telegram,16.464743,8,0.47279379994960297
0,создание длинных видео Sora,ChatGPT Plus за $20 в месяц: детальное сравнение с бесплатной версией,"На бесплатном тарифе <mark>длинные</mark> диалоги быстро ""тупеют"", требуя перезапуска беседы. Память — это информация о пользователе из всех диалогов. | Пример эффективного использования: GPT-транскрибатор для обработки англоязычных <mark>видео</mark> с автоматическим форматированием текста под нужные параметры. | Изображения: <mark>Видео</mark> (<mark>Sora</mark>): ChatGPT Plus оправдывает свою стоимость для профессионального использования и решения сложных задач.",https://vc.ru/chatgpt/2204296-sravnenie-chatgpt-plus-i-besplatnoj-versii,Ivan Mikhailov (IvanAI),chatgpt,18.05398,9,0.4671618908031194
0,создание длинных видео Sora,Смотреть нельзя пропустить. Топ-ИИ-сервисы 2024 года по версии крупнейших инвестфондов,Overlap и Opus Преобразование <mark>длинных</mark> <mark>видео</mark> в короткие вирусные клипы. Делайте свои <mark>видео</mark> популярными и доступными для широкой аудитории. | Krea Платформа для <mark>создания</mark> и редактирования изображений и <mark>видео</mark>. Krea объединяет мощь ИИ с удобством редактирования. | Particle помогает быстро узнавать последние новости без необходимости читать <mark>длинные</mark> статьи. Remix Приложение для <mark>создания</mark> и обмена AI-контентом.,https://vc.ru/future/1731835-smotret-nelzya-propustit-top-ii-servisy-2024-goda-po-versii-krupneishih-investfondov,Виталий Гульчеев,future,18.644796,10,0.4574597772751556
1,блокировка SIM карт роуминг,«Ъ»: операторы не смогли настроить период охлаждения для иностранных SIM-карт — на них не приходят сообщения и не работает интернет,"«Ъ»: операторы не смогли настроить период охлаждения для иностранных <mark>SIM-карт</mark> — на них не приходят сообщения и не работает интернет | Минцифры меру не комментировало, но в августе 2025 года предлагало ввести «период охлаждения» для иностранных <mark>SIM-карт</mark>. | Иностранные операторы 7 октября 2025 года сообщали о <mark>блокировке</mark> интернета на их <mark>SIM-картах</mark> в течение суток после въезда в Россию.",https://vc.ru/services/2273387-problemy-s-inostrannymi-sim-kartami-v-rossii,Евгения Евсеева,services,171.50879,1,0.8194951392793816
1,блокировка SIM карт роуминг,Мобильные операторы стали предупреждать абонентов об ограничении доступа к интернету на 24 часа после возвращения из-за границы,"О введении «периода охлаждения» для отечественных <mark>SIM-карт</mark>, которые находились в международном <mark>роуминге</mark>, в начале ноября 2025 года писал «Ъ». | <mark>роуминга</mark>. | О планах ввести 24-часовой «период охлаждения» для российских <mark>SIM-карт</mark>, которые находились в международном <mark>роуминге</mark> или были неактивны в течение 72 часов",https://vc.ru/services/2330544-ogranichenie-dostupa-k-internetu-posle-vozvrashcheniya-iz-za-granitsy,Таня Боброва,services,145.3482,2,0.77371543187707
